Metric,Avg,Min,Max,Unit
Address Processing Unit Busy,0.15,0.15,0.15,Pct
Address Stall,0.0,0.0,0.0,Pct
Data Stall,0.08,0.08,0.08,Pct
Data-Processor → Address Stall,0.0,0.0,0.0,Pct
Total Instructions,1.0,1.0,1.0,Instructions per wave
Global/Generic Instructions,1.0,1.0,1.0,Instructions per wave
Global/Generic Read Instructions,0.0,0.0,0.0,Instructions per wave
Global/Generic Write Instructions,0.0,0.0,0.0,Instructions per wave
Global/Generic Atomic Instructions,1.0,1.0,1.0,Instructions per wave
Spill/Stack Instructions,0.0,0.0,0.0,Instructions per wave
Spill/Stack Read Instructions,0.0,0.0,0.0,Instructions per wave
Spill/Stack Write Instructions,0.0,0.0,0.0,Instructions per wave
Spill/Stack Atomic Instructions,0.0,0.0,0.0,Instructions per wave
Spill/Stack Total Cycles,0.0,0.0,0.0,Cycles per wave
Spill/Stack Coalesced Read,0.0,0.0,0.0,Cycles per wave
Spill/Stack Coalesced Write,0.0,0.0,0.0,Cycles per wave
