Metric,Avg,Min,Max,Unit
Read (32B),0.0,0.0,0.0,Req per wave
Read (Uncached),0.0,0.0,0.0,Req per wave
Read (64B),1.19,1.19,1.19,Req per wave
Read (128B),0.0,0.0,0.0,Req per wave
HBM Read,1.19,1.19,1.19,Req per wave
Remote Read,0.0,0.0,0.0,Req per wave
Write and Atomic (32B),1.0,1.0,1.0,Req per wave
Write and Atomic (Uncached),1.0,1.0,1.0,Req per wave
Write and Atomic (64B),0.0,0.0,0.0,Req per wave
HBM Write and Atomic,1.0,1.0,1.0,Req per wave
Remote Write and Atomic,0.0,0.0,0.0,Req per wave
Atomic,1.0,1.0,1.0,Req per wave
