Metric,Avg,Unit,Peak,Pct of Peak
VALU FLOPs,0.0,Gflop,81715.2,0.0
VALU IOPs,7.39,Giop,81715.2,0.01
MFMA FLOPs (BF16),0.0,Gflop,2614886.4,0.0
MFMA FLOPs (F16),0.0,Gflop,2614886.4,0.0
MFMA FLOPs (F32),0.0,Gflop,163430.4,0.0
MFMA FLOPs (F64),0.0,Gflop,163430.4,0.0
MFMA IOPs (Int8),0.0,Giop,5229772.8,0.0
Active CUs,13.0,Cus,304.0,4.28
SALU Utilization,0.01,Pct,100.0,0.01
VALU Utilization,0.01,Pct,100.0,0.01
MFMA Utilization,0.0,Pct,100.0,0.0
VMEM Utilization,0.0,Pct,100.0,0.0
Branch Utilization,0.01,Pct,100.0,0.01
VALU Active Threads,38.8,Threads,64.0,60.62
IPC,0.01,Instr/cycle,5.0,0.26
Wavefront Occupancy,37.25,Wavefronts,9728.0,0.38
Theoretical LDS Bandwidth,0.0,Gb/s,81715.2,0.0
LDS Bank Conflicts/Access,,Conflicts/access,32.0,
vL1D Cache Hit Rate,0.0,Pct,100.0,0.0
vL1D Cache BW,4.93,Gb/s,81715.2,0.01
L2 Cache Hit Rate,71.74,Pct,100.0,71.74
L2 Cache BW,28.33,Gb/s,34406.4,0.08
L2-Fabric Read BW,2.93,Gb/s,5324.8,0.05
L2-Fabric Write BW,1.23,Gb/s,5324.8,0.02
L2-Fabric Read Latency,417.67,Cycles,,
L2-Fabric Write Latency,1936.96,Cycles,,
sL1D Cache Hit Rate,0.0,Pct,100.0,0.0
sL1D Cache BW,2.46,Gb/s,21504.0,0.01
L1I Hit Rate,88.89,Pct,100.0,88.89
L1I BW,7.39,Gb/s,21504.0,0.03
L1I Fetch Latency,290.98,Cycles,,
