Metric,Value
Wavefront Occupancy,3.0
Wave Life,4116.0
SALU,3.0
SMEM,1.0
VALU,5.0
MFMA,0.0
VMEM,1.0
LDS,0.0
GWS,0.0
BR,1.0
Active CUs,13.0
Num CUs,304.0
VGPR,4.0
SGPR,16.0
LDS Allocation,0.0
Scratch Allocation,0.0
Wavefronts,128.0
Workgroups,32.0
LDS Req,0.0
LDS Util,0.0
LDS Latency,
VL1 Rd,0.0
VL1 Wr,0.0
VL1 Atomic,64.0
VL1 Hit,0.0
VL1 Lat,
VL1 Coalesce,25.0
VL1 Stall,0.0
VL1_L2 Rd,0.0
VL1_L2 Wr,0.0
VL1_L2 Atomic,1.0
VL1D Rd,1.0
VL1D Hit,0.0
VL1D Lat,
VL1D_L2 Rd,0.0
VL1D_L2 Wr,0.0
VL1D_L2 Atomic,0.0
IL1 Fetch,3.0
IL1 Hit,67.0
IL1 Lat,29098.0
IL1_L2 Rd,4.0
L2 Rd,5.0
L2 Wr,0.0
L2 Atomic,1.0
L2 Hit,72.0
L2 Rd Lat,
L2 Wr Lat,
Fabric_L2 Rd,1.0
Fabric_L2 Wr,1.0
Fabric_L2 Atomic,1.0
Fabric Rd Lat,418.0
Fabric Wr Lat,1937.0
Fabric Atomic Lat,1937.0
HBM Rd,1.0
HBM Wr,1.0
