Metric,Avg,Min,Max,Unit
Total Req,64.0,64.0,64.0,Req per wave
Read Req,0.0,0.0,0.0,Req per wave
Write Req,0.0,0.0,0.0,Req per wave
Atomic Req,64.0,64.0,64.0,Req per wave
Cache BW,2048.0,2048.0,2048.0,Bytes per wave
Cache Hit Rate,75.0,75.0,75.0,Pct
Cache Accesses,16.0,16.0,16.0,Req per wave
Cache Hits,12.0,12.0,12.0,Req per wave
Invalidations,0.25,0.25,0.25,Req per wave
L1-L2 BW,256.0,256.0,256.0,Bytes per wave
L1-L2 Read,0.0,0.0,0.0,Req per wave
L1-L2 Write,0.0,0.0,0.0,Req per wave
L1-L2 Atomic,4.0,4.0,4.0,Req per wave
L1 Access Latency,,,,Cycles
L1-L2 Read Latency,,,,Cycles
L1-L2 Write Latency,,,,Cycles
