Metric,Avg,Unit,Peak,Pct of Peak
VALU FLOPs,0.0,Gflop,81715.2,0.0
VALU IOPs,7.57,Giop,81715.2,0.01
MFMA FLOPs (BF16),0.0,Gflop,2614886.4,0.0
MFMA FLOPs (F16),0.0,Gflop,2614886.4,0.0
MFMA FLOPs (F32),0.0,Gflop,163430.4,0.0
MFMA FLOPs (F64),0.0,Gflop,163430.4,0.0
MFMA IOPs (Int8),0.0,Giop,5229772.8,0.0
Active CUs,13.0,Cus,304.0,4.28
SALU Utilization,0.01,Pct,100.0,0.01
VALU Utilization,0.01,Pct,100.0,0.01
MFMA Utilization,0.0,Pct,100.0,0.0
VMEM Utilization,0.0,Pct,100.0,0.0
Branch Utilization,0.0,Pct,100.0,0.0
VALU Active Threads,64.0,Threads,64.0,100.0
IPC,0.02,Instr/cycle,5.0,0.41
Wavefront Occupancy,24.85,Wavefronts,9728.0,0.26
Theoretical LDS Bandwidth,0.0,Gb/s,81715.2,0.0
LDS Bank Conflicts/Access,,Conflicts/access,32.0,
vL1D Cache Hit Rate,75.0,Pct,100.0,75.0
vL1D Cache BW,80.78,Gb/s,81715.2,0.1
L2 Cache Hit Rate,45.59,Pct,100.0,45.59
L2 Cache BW,42.92,Gb/s,34406.4,0.12
L2-Fabric Read BW,2.84,Gb/s,5324.8,0.05
L2-Fabric Write BW,10.1,Gb/s,5324.8,0.19
L2-Fabric Read Latency,374.89,Cycles,,
L2-Fabric Write Latency,381.68,Cycles,,
sL1D Cache Hit Rate,0.0,Pct,100.0,0.0
sL1D Cache BW,5.05,Gb/s,21504.0,0.02
L1I Hit Rate,80.0,Pct,100.0,80.0
L1I BW,5.05,Gb/s,21504.0,0.02
L1I Fetch Latency,408.42,Cycles,,
