Metric,Value
Wavefront Occupancy,2.0
Wave Life,2407.0
SALU,2.0
SMEM,2.0
VALU,4.0
MFMA,0.0
VMEM,1.0
LDS,0.0
GWS,0.0
BR,0.0
Active CUs,13.0
Num CUs,304.0
VGPR,4.0
SGPR,16.0
LDS Allocation,0.0
Scratch Allocation,0.0
Wavefronts,128.0
Workgroups,32.0
LDS Req,0.0
LDS Util,0.0
LDS Latency,
VL1 Rd,0.0
VL1 Wr,0.0
VL1 Atomic,64.0
VL1 Hit,75.0
VL1 Lat,
VL1 Coalesce,25.0
VL1 Stall,0.0
VL1_L2 Rd,0.0
VL1_L2 Wr,0.0
VL1_L2 Atomic,4.0
VL1D Rd,2.0
VL1D Hit,0.0
VL1D Lat,
VL1D_L2 Rd,0.0
VL1D_L2 Wr,0.0
VL1D_L2 Atomic,0.0
IL1 Fetch,2.0
IL1 Hit,50.0
IL1 Lat,138006.0
IL1_L2 Rd,4.0
L2 Rd,4.0
L2 Wr,0.0
L2 Atomic,4.0
L2 Hit,46.0
L2 Rd Lat,
L2 Wr Lat,
Fabric_L2 Rd,1.0
Fabric_L2 Wr,4.0
Fabric_L2 Atomic,4.0
Fabric Rd Lat,375.0
Fabric Wr Lat,382.0
Fabric Atomic Lat,382.0
HBM Rd,1.0
HBM Wr,4.0
