Metric,Avg,Min,Max,Unit
Not-scheduled Rate (Workgroup Manager),5.15,5.15,5.15,Pct
Not-scheduled Rate (Scheduler-Pipe),5.67,5.67,5.67,Pct
Scheduler-Pipe Stall Rate,4.83,4.83,4.83,Pct
Scratch Stall Rate,0.0,0.0,0.0,Pct
Insufficient SIMD Waveslots,10.16,10.16,10.16,Pct
Insufficient SIMD VGPRs,0.0,0.0,0.0,Pct
Insufficient SIMD SGPRs,0.0,0.0,0.0,Pct
Insufficient CU LDS,0.0,0.0,0.0,Pct
Insufficient CU Barriers,0.0,0.0,0.0,Pct
Reached CU Workgroup Limit,0.0,0.0,0.0,Pct
Reached CU Wavefront Limit,0.0,0.0,0.0,Pct
