Metric,Avg,Min,Max,Unit
Read BW,256.75,256.75,256.75,Bytes per wave
HBM Read Traffic,99.95,99.95,99.95,Pct
Remote Read Traffic,0.05,0.05,0.05,Pct
Uncached Read Traffic,0.05,0.05,0.05,Pct
Write and Atomic BW,256.0,256.0,256.0,Bytes per wave
HBM Write and Atomic Traffic,100.0,100.0,100.0,Pct
Remote Write and Atomic Traffic,0.0,0.0,0.0,Pct
Atomic Traffic,0.0,0.0,0.0,Pct
Uncached Write and Atomic Traffic,0.0,0.0,0.0,Pct
Read Latency,1723.5,1723.5,1723.5,Cycles
Write and Atomic Latency,596.82,596.82,596.82,Cycles
Atomic Latency,,,,Cycles
Read Stall,,,,Pct
Write Stall,,,,Pct
