Metric,Avg,Unit,Peak,Pct of Peak
VALU FLOPs,0.0,Gflop,81715.2,0.0
VALU IOPs,3155.57,Giop,81715.2,3.86
MFMA FLOPs (BF16),0.0,Gflop,2614886.4,0.0
MFMA FLOPs (F16),0.0,Gflop,2614886.4,0.0
MFMA FLOPs (F32),0.0,Gflop,163430.4,0.0
MFMA FLOPs (F64),0.0,Gflop,163430.4,0.0
MFMA IOPs (Int8),0.0,Giop,5229772.8,0.0
Active CUs,81.0,Cus,304.0,26.64
SALU Utilization,2.96,Pct,100.0,2.96
VALU Utilization,6.45,Pct,100.0,6.45
MFMA Utilization,0.0,Pct,100.0,0.0
VMEM Utilization,0.54,Pct,100.0,0.54
Branch Utilization,1.08,Pct,100.0,1.08
VALU Active Threads,64.0,Threads,64.0,100.0
IPC,0.48,Instr/cycle,5.0,9.58
Wavefront Occupancy,2370.88,Wavefronts,9728.0,24.37
Theoretical LDS Bandwidth,1484.97,Gb/s,81715.2,1.82
LDS Bank Conflicts/Access,0.0,Conflicts/access,32.0,0.0
vL1D Cache Hit Rate,25.0,Pct,100.0,25.0
vL1D Cache BW,2969.94,Gb/s,81715.2,3.63
L2 Cache Hit Rate,35.44,Pct,100.0,35.44
L2 Cache BW,2303.95,Gb/s,34406.4,6.7
L2-Fabric Read BW,744.66,Gb/s,5324.8,13.98
L2-Fabric Write BW,742.49,Gb/s,5324.8,13.94
L2-Fabric Read Latency,1723.5,Cycles,,
L2-Fabric Write Latency,596.82,Cycles,,
sL1D Cache Hit Rate,99.43,Pct,100.0,99.43
sL1D Cache BW,371.24,Gb/s,21504.0,1.73
L1I Hit Rate,99.87,Pct,100.0,99.87
L1I BW,1484.97,Gb/s,21504.0,6.91
L1I Fetch Latency,42.33,Cycles,,
