Metric,Avg,Min,Max,Unit
Not-scheduled Rate (Workgroup Manager),6.67,6.67,6.67,Pct
Not-scheduled Rate (Scheduler-Pipe),4.62,4.62,4.62,Pct
Scheduler-Pipe Stall Rate,3.75,3.75,3.75,Pct
Scratch Stall Rate,0.0,0.0,0.0,Pct
Insufficient SIMD Waveslots,5.29,5.29,5.29,Pct
Insufficient SIMD VGPRs,0.0,0.0,0.0,Pct
Insufficient SIMD SGPRs,0.0,0.0,0.0,Pct
Insufficient CU LDS,0.0,0.0,0.0,Pct
Insufficient CU Barriers,0.0,0.0,0.0,Pct
Reached CU Workgroup Limit,0.0,0.0,0.0,Pct
Reached CU Wavefront Limit,0.0,0.0,0.0,Pct
