Metric,Avg,Min,Max,Unit
Read BW,266.5,266.5,266.5,Bytes per wave
HBM Read Traffic,100.0,100.0,100.0,Pct
Remote Read Traffic,0.0,0.0,0.0,Pct
Uncached Read Traffic,1.44,1.44,1.44,Pct
Write and Atomic BW,256.0,256.0,256.0,Bytes per wave
HBM Write and Atomic Traffic,100.0,100.0,100.0,Pct
Remote Write and Atomic Traffic,0.0,0.0,0.0,Pct
Atomic Traffic,0.0,0.0,0.0,Pct
Uncached Write and Atomic Traffic,0.0,0.0,0.0,Pct
Read Latency,1247.96,1247.96,1247.96,Cycles
Write and Atomic Latency,390.88,390.88,390.88,Cycles
Atomic Latency,,,,Cycles
Read Stall,,,,Pct
Write Stall,,,,Pct
