Metric,Avg,Unit,Peak,Pct of Peak
VALU FLOPs,0.0,Gflop,81715.2,0.0
VALU IOPs,89.87,Giop,81715.2,0.11
MFMA FLOPs (BF16),0.0,Gflop,2614886.4,0.0
MFMA FLOPs (F16),0.0,Gflop,2614886.4,0.0
MFMA FLOPs (F32),0.0,Gflop,163430.4,0.0
MFMA FLOPs (F64),0.0,Gflop,163430.4,0.0
MFMA IOPs (Int8),0.0,Giop,5229772.8,0.0
Active CUs,60.0,Cus,304.0,19.74
SALU Utilization,0.15,Pct,100.0,0.15
VALU Utilization,0.15,Pct,100.0,0.15
MFMA Utilization,0.0,Pct,100.0,0.0
VMEM Utilization,0.05,Pct,100.0,0.05
Branch Utilization,0.05,Pct,100.0,0.05
VALU Active Threads,64.0,Threads,64.0,100.0
IPC,0.03,Instr/cycle,5.0,0.53
Wavefront Occupancy,228.45,Wavefronts,9728.0,2.35
Theoretical LDS Bandwidth,0.0,Gb/s,81715.2,0.0
LDS Bank Conflicts/Access,,Conflicts/access,32.0,
vL1D Cache Hit Rate,25.0,Pct,100.0,25.0
vL1D Cache BW,287.6,Gb/s,81715.2,0.35
L2 Cache Hit Rate,52.06,Pct,100.0,52.06
L2 Cache BW,312.98,Gb/s,34406.4,0.91
L2-Fabric Read BW,74.85,Gb/s,5324.8,1.41
L2-Fabric Write BW,71.9,Gb/s,5324.8,1.35
L2-Fabric Read Latency,1247.96,Cycles,,
L2-Fabric Write Latency,390.88,Cycles,,
sL1D Cache Hit Rate,87.52,Pct,100.0,87.52
sL1D Cache BW,53.92,Gb/s,21504.0,0.25
L1I Hit Rate,95.49,Pct,100.0,95.49
L1I BW,71.9,Gb/s,21504.0,0.33
L1I Fetch Latency,216.24,Cycles,,
