Metric,Value
Wavefront Occupancy,4.0
Wave Life,3065.0
SALU,3.0
SMEM,3.0
VALU,6.0
MFMA,0.0
VMEM,2.0
LDS,0.0
GWS,0.0
BR,1.0
Active CUs,60.0
Num CUs,304.0
VGPR,4.0
SGPR,16.0
LDS Allocation,0.0
Scratch Allocation,0.0
Wavefronts,1024.0
Workgroups,256.0
LDS Req,0.0
LDS Util,0.0
LDS Latency,
VL1 Rd,16.0
VL1 Wr,16.0
VL1 Atomic,0.0
VL1 Hit,25.0
VL1 Lat,
VL1 Coalesce,100.0
VL1 Stall,0.0
VL1_L2 Rd,2.0
VL1_L2 Wr,4.0
VL1_L2 Atomic,0.0
VL1D Rd,3.0
VL1D Hit,33.0
VL1D Lat,
VL1D_L2 Rd,0.0
VL1D_L2 Wr,0.0
VL1D_L2 Atomic,0.0
IL1 Fetch,4.0
IL1 Hit,75.0
IL1 Lat,36503.0
IL1_L2 Rd,3.0
L2 Rd,5.0
L2 Wr,4.0
L2 Atomic,0.0
L2 Hit,52.0
L2 Rd Lat,
L2 Wr Lat,
Fabric_L2 Rd,2.0
Fabric_L2 Wr,4.0
Fabric_L2 Atomic,0.0
Fabric Rd Lat,1248.0
Fabric Wr Lat,391.0
Fabric Atomic Lat,0.0
HBM Rd,2.0
HBM Wr,4.0
