Metric,Avg,Min,Max,Unit
INT32,16.0,16.0,16.0,Instr per wave
INT64,2.0,2.0,2.0,Instr per wave
F16-ADD,0.0,0.0,0.0,Instr per wave
F16-MUL,0.0,0.0,0.0,Instr per wave
F16-FMA,0.0,0.0,0.0,Instr per wave
F16-Trans,0.0,0.0,0.0,Instr per wave
F32-ADD,0.0,0.0,0.0,Instr per wave
F32-MUL,1.0,1.0,1.0,Instr per wave
F32-FMA,0.0,0.0,0.0,Instr per wave
F32-Trans,1.0,1.0,1.0,Instr per wave
F64-ADD,0.0,0.0,0.0,Instr per wave
F64-MUL,0.0,0.0,0.0,Instr per wave
F64-FMA,0.0,0.0,0.0,Instr per wave
F64-Trans,0.0,0.0,0.0,Instr per wave
Conversion,2.0,2.0,2.0,Instr per wave
