Metric,Avg,Min,Max,Unit
Total Req,128.0,128.0,128.0,Req per wave
Read Req,64.0,64.0,64.0,Req per wave
Write Req,64.0,64.0,64.0,Req per wave
Atomic Req,0.0,0.0,0.0,Req per wave
Cache BW,16384.0,16384.0,16384.0,Bytes per wave
Cache Hit Rate,0.0,0.0,0.0,Pct
Cache Accesses,128.0,128.0,128.0,Req per wave
Cache Hits,0.0,0.0,0.0,Req per wave
Invalidations,0.25,0.25,0.25,Req per wave
L1-L2 BW,12288.0,12288.0,12288.0,Bytes per wave
L1-L2 Read,64.0,64.0,64.0,Req per wave
L1-L2 Write,64.0,64.0,64.0,Req per wave
L1-L2 Atomic,0.0,0.0,0.0,Req per wave
L1 Access Latency,,,,Cycles
L1-L2 Read Latency,,,,Cycles
L1-L2 Write Latency,,,,Cycles
