Metric,Avg,Min,Max,Unit
Read BW,4107.5,4107.5,4107.5,Bytes per wave
HBM Read Traffic,100.02,100.02,100.02,Pct
Remote Read Traffic,0.0,0.0,0.0,Pct
Uncached Read Traffic,0.15,0.15,0.15,Pct
Write and Atomic BW,1073.06,1073.06,1073.06,Bytes per wave
HBM Write and Atomic Traffic,101.29,101.29,101.29,Pct
Remote Write and Atomic Traffic,0.0,0.0,0.0,Pct
Atomic Traffic,0.0,0.0,0.0,Pct
Uncached Write and Atomic Traffic,0.0,0.0,0.0,Pct
Read Latency,1893.76,1893.76,1893.76,Cycles
Write and Atomic Latency,314.87,314.87,314.87,Cycles
Atomic Latency,,,,Cycles
Read Stall,,,,Pct
Write Stall,,,,Pct
