Metric,Avg,Min,Max,Unit
Bandwidth,16767.25,16767.25,16767.25,Bytes per wave
Req,130.99,130.99,130.99,Req per wave
Read Req,67.0,67.0,67.0,Req per wave
Write Req,64.0,64.0,64.0,Req per wave
Atomic Req,0.0,0.0,0.0,Req per wave
Streaming Req,0.0,0.0,0.0,Req per wave
Probe Req,0.0,0.0,0.0,Req per wave
Cache Hit,51.06,51.06,51.06,Pct
Hits,66.89,66.89,66.89,Hits per wave
Misses,64.11,64.11,64.11,Misses per wave
Writeback,33.65,33.65,33.65,Cachelines per wave
Writeback (Internal),18.04,18.04,18.04,Cachelines per wave
Writeback (vL1D Req),16.9,16.9,16.9,Cachelines per wave
Evict (Internal),0.03,0.03,0.03,Cachelines per wave
Evict (vL1D Req),0.0,0.0,0.0,Cachelines per wave
NC Req,0.0,0.0,0.0,Req per wave
UC Req,0.0,0.0,0.0,Req per wave
CC Req,0.0,0.0,0.0,Req per wave
RW Req,130.99,130.99,130.99,Req per wave
