Metric,Value
Wavefront Occupancy,3.0
Wave Life,4151.0
SALU,5.0
SMEM,3.0
VALU,27.0
MFMA,0.0
VMEM,2.0
LDS,0.0
GWS,0.0
BR,1.0
Active CUs,83.0
Num CUs,304.0
VGPR,4.0
SGPR,16.0
LDS Allocation,0.0
Scratch Allocation,0.0
Wavefronts,1024.0
Workgroups,256.0
LDS Req,0.0
LDS Util,0.0
LDS Latency,
VL1 Rd,64.0
VL1 Wr,64.0
VL1 Atomic,0.0
VL1 Hit,0.0
VL1 Lat,
VL1 Coalesce,25.0
VL1 Stall,6.0
VL1_L2 Rd,64.0
VL1_L2 Wr,64.0
VL1_L2 Atomic,0.0
VL1D Rd,3.0
VL1D Hit,67.0
VL1D Lat,
VL1D_L2 Rd,0.0
VL1D_L2 Wr,0.0
VL1D_L2 Atomic,0.0
IL1 Fetch,8.0
IL1 Hit,88.0
IL1 Lat,14863.0
IL1_L2 Rd,3.0
L2 Rd,67.0
L2 Wr,64.0
L2 Atomic,0.0
L2 Hit,51.0
L2 Rd Lat,
L2 Wr Lat,
Fabric_L2 Rd,32.0
Fabric_L2 Wr,34.0
Fabric_L2 Atomic,0.0
Fabric Rd Lat,1894.0
Fabric Wr Lat,315.0
Fabric Atomic Lat,0.0
HBM Rd,32.0
HBM Wr,34.0
