Metric,Avg,Min,Max,Unit
Req,3.0,3.0,3.0,Req per wave
Hits,2.39,2.39,2.39,Req per wave
Misses - Non Duplicated,0.02,0.02,0.02,Req per wave
Misses- Duplicated,0.59,0.59,0.59,Req per wave
Cache Hit Rate,79.82,79.82,79.82,Pct
Read Req (Total),3.0,3.0,3.0,Req per wave
Atomic Req,0.0,0.0,0.0,Req per wave
Read Req (1 DWord),1.0,1.0,1.0,Req per wave
Read Req (2 DWord),1.0,1.0,1.0,Req per wave
Read Req (4 DWord),1.0,1.0,1.0,Req per wave
Read Req (8 DWord),0.0,0.0,0.0,Req per wave
Read Req (16 DWord),0.0,0.0,0.0,Req per wave
