Metric,Avg,Min,Max,Unit
Read BW,257.44,257.44,257.44,Bytes per wave
HBM Read Traffic,100.0,100.0,100.0,Pct
Remote Read Traffic,0.0,0.0,0.0,Pct
Uncached Read Traffic,0.29,0.29,0.29,Pct
Write and Atomic BW,256.0,256.0,256.0,Bytes per wave
HBM Write and Atomic Traffic,100.0,100.0,100.0,Pct
Remote Write and Atomic Traffic,0.0,0.0,0.0,Pct
Atomic Traffic,0.0,0.0,0.0,Pct
Uncached Write and Atomic Traffic,0.0,0.0,0.0,Pct
Read Latency,1309.84,1309.84,1309.84,Cycles
Write and Atomic Latency,384.2,384.2,384.2,Cycles
Atomic Latency,,,,Cycles
Read Stall,,,,Pct
Write Stall,,,,Pct
