Metric,Avg,Min,Max,Unit
Req,3.12,3.12,3.12,Req per wave
Hits,1.91,1.91,1.91,Req per wave
Misses - Non Duplicated,0.04,0.04,0.04,Req per wave
Misses- Duplicated,1.17,1.17,1.17,Req per wave
Cache Hit Rate,61.25,61.25,61.25,Pct
Read Req (Total),3.12,3.12,3.12,Req per wave
Atomic Req,0.0,0.0,0.0,Req per wave
Read Req (1 DWord),1.12,1.12,1.12,Req per wave
Read Req (2 DWord),1.0,1.0,1.0,Req per wave
Read Req (4 DWord),1.0,1.0,1.0,Req per wave
Read Req (8 DWord),0.0,0.0,0.0,Req per wave
Read Req (16 DWord),0.0,0.0,0.0,Req per wave
