Metric,Avg,Min,Max,Unit
Total Req,24.0,24.0,24.0,Req per wave
Read Req,8.0,8.0,8.0,Req per wave
Write Req,16.0,16.0,16.0,Req per wave
Atomic Req,0.0,0.0,0.0,Req per wave
Cache BW,1536.0,1536.0,1536.0,Bytes per wave
Cache Hit Rate,0.0,0.0,0.0,Pct
Cache Accesses,12.0,12.0,12.0,Req per wave
Cache Hits,0.0,0.0,0.0,Req per wave
Invalidations,0.07,0.07,0.07,Req per wave
L1-L2 BW,1280.0,1280.0,1280.0,Bytes per wave
L1-L2 Read,8.0,8.0,8.0,Req per wave
L1-L2 Write,4.0,4.0,4.0,Req per wave
L1-L2 Atomic,0.0,0.0,0.0,Req per wave
L1 Access Latency,,,,Cycles
L1-L2 Read Latency,,,,Cycles
L1-L2 Write Latency,,,,Cycles
