Metric,Avg,Min,Max,Unit
Read BW,1028.03,1028.03,1028.03,Bytes per wave
HBM Read Traffic,100.02,100.02,100.02,Pct
Remote Read Traffic,0.0,0.0,0.0,Pct
Uncached Read Traffic,0.59,0.59,0.59,Pct
Write and Atomic BW,256.0,256.0,256.0,Bytes per wave
HBM Write and Atomic Traffic,100.0,100.0,100.0,Pct
Remote Write and Atomic Traffic,0.0,0.0,0.0,Pct
Atomic Traffic,0.0,0.0,0.0,Pct
Uncached Write and Atomic Traffic,0.0,0.0,0.0,Pct
Read Latency,1478.31,1478.31,1478.31,Cycles
Write and Atomic Latency,262.87,262.87,262.87,Cycles
Atomic Latency,,,,Cycles
Read Stall,,,,Pct
Write Stall,,,,Pct
