Metric,Avg,Unit,Peak,Pct of Peak
VALU FLOPs,4.35,Gflop,81715.2,0.01
VALU IOPs,226.26,Giop,81715.2,0.28
MFMA FLOPs (BF16),0.0,Gflop,2614886.4,0.0
MFMA FLOPs (F16),0.0,Gflop,2614886.4,0.0
MFMA FLOPs (F32),0.0,Gflop,163430.4,0.0
MFMA FLOPs (F64),0.0,Gflop,163430.4,0.0
MFMA IOPs (Int8),0.0,Giop,5229772.8,0.0
Active CUs,74.0,Cus,304.0,24.34
SALU Utilization,0.65,Pct,100.0,0.65
VALU Utilization,0.59,Pct,100.0,0.59
MFMA Utilization,0.0,Pct,100.0,0.0
VMEM Utilization,0.07,Pct,100.0,0.07
Branch Utilization,0.19,Pct,100.0,0.19
VALU Active Threads,64.0,Threads,64.0,100.0
IPC,0.07,Instr/cycle,5.0,1.43
Wavefront Occupancy,800.41,Wavefronts,9728.0,8.23
Theoretical LDS Bandwidth,0.0,Gb/s,81715.2,0.0
LDS Bank Conflicts/Access,,Conflicts/access,32.0,
vL1D Cache Hit Rate,0.0,Pct,100.0,0.0
vL1D Cache BW,835.41,Gb/s,81715.2,1.02
L2 Cache Hit Rate,21.79,Pct,100.0,21.79
L2 Cache BW,894.16,Gb/s,34406.4,2.6
L2-Fabric Read BW,559.13,Gb/s,5324.8,10.5
L2-Fabric Write BW,139.23,Gb/s,5324.8,2.61
L2-Fabric Read Latency,1478.31,Cycles,,
L2-Fabric Write Latency,262.87,Cycles,,
sL1D Cache Hit Rate,98.0,Pct,100.0,98.0
sL1D Cache BW,108.78,Gb/s,21504.0,0.51
L1I Hit Rate,98.91,Pct,100.0,98.91
L1I BW,152.29,Gb/s,21504.0,0.71
L1I Fetch Latency,105.07,Cycles,,
